Code;DisplayName;Description
FORM_4;ФОРМА 4;Карта оценки номенклатуры ЭРИ и сведений о соответсвии условий их эксплуатации и показателей надежности требованиям НДТ
FORM_5;ФОРМА 5;Карта ЭРИ, примененных при механических воздействиях, не соответствующих требованиям НТД
FORM_6;ФОРМА 6;Карта рабочих режимов магнетронов импульсного и непрерывного действия
FORM_7;ФОРМА 7;Карта рабочих режимов ламп обратной волны
FORM_8;ФОРМА 8;Карта рабочих режимов ламп обратной волны
FORM_9;ФОРМА 9;Карта рабочих режимов отражательных клистронов
FORM_10;ФОРМА 10;Карта рабочих режимов ламп бегущей волны импульсного и непрерывного действия
FORM_11;ФОРМА 11;Карта рабочих режимов пролетных и усилительно-преобразовательных клистронов импульсного и непрерывного действия
FORM_12;ФОРМА 12;Карта рабочих режимов электронно-лучевых параметрических усилителей
FORM_13;ФОРМА 13;Карта рабочих режимов защитных устройств СВЧ
FORM_14;ФОРМА 14;Карта рабочих режимов защитных устройств СВЧ
FORM_15;ФОРМА 15;Карта рабочих режимов ВЧ и СВЧ транзисторов
FORM_16;ФОРМА 16;Карта рабочих режимов полупроводниковых параметрических усилителей и усилителей на туннельных диодах
FORM_17;ФОРМА 17;Карта рабочих режимов генераторов и усилителей на диодах Ганна
FORM_18;ФОРМА 18;Карта рабочих режимов генераторов шума СВЧ и генераторов на лавинно-пролетных диодах
FORM_19;ФОРМА 19;Карта рабочих режимов приемных и передающих СВЧ
FORM_20;ФОРМА 20;Карта рабочих режимов полупроводниковых фазовращателей, переключателей, аттенюаторов и модуляторов
FORM_21;ФОРМА 21;Карта рабочих режимов ферритовых циркуляторов, вентилей, переключателей и ограничителей
FORM_22;ФОРМА 22;Карта рабочих режимов полупроводниковых генераторов шума
FORM_23;ФОРМА 23;Карта рабочих режимов генераторных и модуляторных ламп
FORM_24;ФОРМА 24;Карта рабочих режимов генераторных коаксиально-волноводных модулей СВЧ на металлокерамических лампах непрерывного режима
FORM_25;ФОРМА 25;Карта рабочих режимов генераторных и усилительных коаксиально-волноводных модулей СВЧ на металлокерамических лампах импульсного режима
FORM_26;ФОРМА 26;Карта рабочих режимов стабилитронов газонаполненных
FORM_27;ФОРМА 27;Карта рабочих режимов газотронов и тиратронов импульсных
FORM_28;ФОРМА 28;Карта рабочих режимов кенотронов выпрямительных и импульсных
FORM_29;ФОРМА 29;Карта рабочих режимов искровых разрядников
FORM_30;ФОРМА 30;Карта рабочих режимов цветных и монохромных кинескопов, индикаторных и осциллографических цветных и монохромных электроннолучевых трубок
FORM_31;ФОРМА 31;Карта рабочих режимов индикаторов знакосинтезирующих вакуумных люминесцентных
FORM_32;ФОРМА 32;Карта рабочих режимов индикаторов знакосинтезирующих жидкокристаллических
FORM_33;ФОРМА 33;Карта рабочих режимов индикаторов знакосинтезирующих газоразрядных постоянного тока
FORM_34;ФОРМА 34;Карта рабочих режимов индикаторов знакосинтезирующих газоразрядных переменного тока
FORM_35;ФОРМА 35;Карта рабочих режимов индикаторов знакосинтезирующих полупроводниковых
FORM_36;ФОРМА 36;Карта рабочих режимов диссекторов
FORM_37;ФОРМА 37;Карта рабочих режимов видиконов
FORM_38;ФОРМА 38;Карта рабочих режимов супервидиконов
FORM_39;ФОРМА 39;Карта рабочих режимов суперортиконов
FORM_40;ФОРМА 40;Карта рабочих режимов фотоумножителей
FORM_41;ФОРМА 41;Карта рабочих режимов электронно-оптических преобразователей
FORM_42;ФОРМА 42;Карта рабочих режимов фоточувствительных приборов с зарядовой связью
FORM_43;ФОРМА 43;Карта рабочих режимов фотоэлектронных преобразователей
FORM_44;ФОРМА 44;Карта рабочих режимов фоторезисторов, фотодиодов, фототранзисторов и тепловых приемников излучения
FORM_45;ФОРМА 45;Карта рабочих режимов фотоприемных устройств и тепловых приемных устройств
FORM_46;ФОРМА 46;Карта рабочих режимов оптоэлектронных приемных устройств
FORM_47;ФОРМА 47;Карта рабочих режимов оптопар
FORM_48;ФОРМА 48;Карта рабочих режимов оптоэлектронных переключателей логического сигнала
FORM_49;ФОРМА 49;Карта рабочих режимов газовых лазеров непрерывного и импульсного режима работы
FORM_50;ФОРМА 50;Карта рабочих режимов твердотельных лазеров непрерывного и импульсного режима работы
FORM_50;ФОРМА 50;Карта рабочих режимов твердотельных лазеров непрерывного и импульсного режима работы
FORM_51;ФОРМА 51;Карта рабочих режимов полупроводниковых лазеров непрерывного и импульсного режима работы
FORM_52;ФОРМА 52;Карта рабочих режимов полупроводниковых излучающих диодов ИК диапазона
FORM_53;ФОРМА 53;Карта рабочих режимов полупроводниковых тетродов биполярных (дефензоров)
FORM_54;ФОРМА 54;Карта рабочих режимов полупроводниковых ограничителей напряжения
FORM_55;ФОРМА 55;Карта рабочих режимов диодов (выпрямительных, импульсных, универсальных), варикапов и диодных сборок
FORM_56;ФОРМА 56;Карта рабочих режимов полупроводниковых стабилитронов и стабисторов
FORM_57;ФОРМА 57;Карта рабочих режимов транзисторов и транзисторных сборок
FORM_58;ФОРМА 58;Карта рабочих режимов транзисторов и транзисторных сборок
FORM_59;ФОРМА 59;Карта рабочих режимов однопереходных транзисторов
FORM_60;ФОРМА 60;Карта рабочих режимов полевых транзисторов и транзисторных сборок
FORM_61;ФОРМА 61;Карта рабочих режимов полупроводниковых транзисторных усилителей
FORM_62;ФОРМА 62;Карта рабочих режимов тиристоров
FORM_63;ФОРМА 63;Карта рабочих режимов аналоговых функциональных узлов (модулей, микромодулей, микросхем)
FORM_64;ФОРМА 64;Карта рабочих режимов цифровых функциональных узлов (модулей, микромодулей, микросхем)
FORM_65;ФОРМА 65;Карта рабочих режимов функциональных узлов (модулей, микромодулей, микросхем)
FORM_65A;ФОРМА 65А;Карта рабочих режимов функциональных узлов (модулей, микромодулей, микросхем) по временным параметрам
FORM_66;ФОРМА 66;Карта рабочих режимов цифровых функциональных узлов (модулей, микромодулей, микросхем)
FORM_67;ФОРМА 67;Карта рабочих режимов конденсаторов, конденсаторных сборок, помехоподавляющих фильтров и ионисторов
FORM_68;ФОРМА 68;Карта рабочих режимов резисторов, резисторных сборок, терморезисторов, поглотителей и потенциометров
FORM_69;ФОРМА 69;Карта рабочих режимов кварцевых резонаторов, кварцевых микрогенераторов, пьезоэлектрических и электромеханических фильтров и линий задержки на поверхностных акустических волнах
FORM_70;ФОРМА 70;Карта рабочих режимов двигателей постоянного и переменного тока, электромагнитных муфт и электровентиляторов
FORM_71;ФОРМА 71;Карта рабочих режимов шаговых электродвигателей электромашинного типа
FORM_72;ФОРМА 72;Карта рабочих режимов тахогенераторов и двигателей-генераторов
FORM_73;ФОРМА 73;Карта рабочих режимов сельсинов, вращающихся трансформаторов и фазовращателей
FORM_74;ФОРМА 74;Карта рабочих режимов цифровых преобразователей угла
FORM_75;ФОРМА 75;Карта рабочих режимов электрических соединителей
FORM_76;ФОРМА 76;Карта рабочих режимов автоматических выключателей 
FORM_77;ФОРМА 77;Карта рабочих режимов электромагнитных реле, контакторов, вакуумных выключателей и переключателей, магнитоуправляемых контактов
FORM_78;ФОРМА 78;Карта рабочих режимов электромагнитных реле максимального тока и электротепловых токовых реле
FORM_79;ФОРМА 79;Карта рабочих режимов реле времени
FORM_80;ФОРМА 80;Карат рабочих режимов бесконтактных коммутационных устройств
FORM_81;ФОРМА 81;Карта рабочих режимов микровыключателей и микропереключателей, тумблеров, кнопок, кнопочных, движковых, поворотных и пакетных переключателей
FORM_82;ФОРМА 82;Карта рабочих режимов линейных интегральных стабилизаторов напряжения
FORM_83;ФОРМА 83;Карта рабочих режимов вторичных источников питания
FORM_84;ФОРМА 84;Карта рабочих режимов силовых трансформаторов
FORM_85;ФОРМА 85;Карта рабочих режимов импульсных трансформаторов
FORM_86;ФОРМА 86;Карта рабочих режимов дросселей фильтров
FORM_87;ФОРМА 87;Карта рабочих режимов предохранителей и держателей предохранителей
